"","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"ANNE",5.01164387443038,5.06944715354305,5.12343670842318,5.18080079661837,5.23709317221715,5.2939806642872,5.34563463843269,5.40554384117201,5.47030523172252,5.59686972741939,5.64948267410148,5.81929189191026,5.88717871013879,5.99821307181624,6.08855716756178,6.20930458698929,6.3166108941692,6.18223545135636,5.95871685968546,5.8832806371097,5.76932145719328,5.84617897161916,5.94286337887079,5.89886181571669,5.64466773960954,5.41425451147236,5.08707186179408,5.18805041948317,5.14637002720847,5.35342491654381,5.37515539816311,5.36906705047735,5.59985809502816,5.33811896258268,5.31866575509493,5.25913077858672,4.94913678954011,5.12882298556624,5.31009175068347,5.57496627045777,5.7247475423063,5.84470942985874,6.09799616509031,6.25109939728293,6.25754133192713,6.26398680370031,6.20633155262973,6.1978559100006,6.12932868047836,6.06278066803459,6.06759565352393
"ARDL",6.17143158160511,6.22065007699038,6.27536465254737,6.3244061467692,6.37690997778574,6.42687398342091,6.4705992087029,6.52771319524366,6.58815159183615,6.70098916878369,6.87419354420845,7.17761759611867,7.05962592765874,6.98303832188741,7.1874052386805,6.8411883346243,7.05515864250751,7.12471993274798,7.0961412858794,7.00226111284488,6.86848509025875,6.92094818632812,7.02268977014656,6.98054324590185,6.99916546064101,7.10889883339778,6.83145163788891,7.06715690454941,7.07928408083114,6.88444806707688,6.78039407071981,6.65915244944197,6.64763909023145,6.32425896288079,6.01604005994423,5.81461965543667,5.59348374952138,5.55983348712734,5.52139439493225,5.56794914054873,5.5029608942175,5.40310498628762,5.443711523924,5.48698984862122,5.56018599680253,5.57069538060032,5.50934903927417,5.50490525435392,5.42499464598379,5.35611436300606,5.34796345873092
"ARMS",8.26307799389437,8.3136865215975,8.36845415860728,8.41584410409297,8.46471905819676,8.51373455500159,8.5636405400511,8.61840198108291,8.66940692430786,8.78856319153022,8.83172007856493,9.00178937152577,9.06477544451419,9.17174831368276,9.16421836327804,9.18778130013465,9.20083180732573,9.20187324772916,9.11193864519484,8.95197995037156,8.74974008260137,8.7366956294478,8.77497486111814,8.66565512815703,8.61996136089159,8.60222355372238,8.48775928126185,8.55232029500026,8.46727636963022,8.53866531289964,8.42028318777484,8.27368747505261,8.35616872660251,8.18791312331157,8.26099541039028,8.30020054711407,8.08075208524529,8.05298500791841,8.02169591417594,8.07389841440319,8.01396848950597,7.91860402866397,7.95682069422662,7.93499998166807,7.94047343330614,7.94401372591938,7.87698467216029,7.86486637724334,7.79109817010328,7.72186003854243,7.71461344470284
"ARTH",7.33793140735915,7.39275114898668,7.44888722142608,7.50613612874035,7.56075579199901,7.61384272501393,7.66851026130208,7.73106832270982,7.79270888691998,7.91635121388842,7.96548406999219,8.14128740461348,8.20253596144425,8.31315650921607,8.3972522762476,8.5192412414434,8.62991120190706,8.73024991481166,8.728640694963,8.65932729833719,8.54890532753058,8.63146497466066,8.76241915770258,8.74629192401684,8.79370757111529,8.87008106710485,8.8437498900902,9.00474646742613,9.01357045738883,9.18203538361372,9.1535128066676,9.10090353612653,9.27917439834691,9.20513383474649,9.37284900438214,9.49899725175411,9.37541660657441,9.44164833699002,9.50395839920823,9.65174512483167,9.68440947912579,9.68079260919664,9.75525005157383,9.73425341485496,9.74385669115544,9.75293149992372,9.68741759169799,9.67862899287086,9.60782834452073,9.54398928621355,9.54228069254839
"AUST",5.6927403074791,5.74661877431944,5.80344180747984,5.8537880186324,5.91295971530302,5.96699375907165,6.02415212899993,6.08805412781299,6.15385762639872,6.27717795714925,6.32760380628864,6.50036368794082,6.56384988473967,6.67789777231639,6.76509386160066,6.88728867994815,6.99299435423486,7.09402925864932,7.09843251431636,7.03641061889558,6.93335206884434,7.00530638427721,7.13675827018116,7.12518757318151,7.17662261616228,7.25627074141536,7.22696116532697,7.39007213348512,7.39421175466638,7.55343400555063,7.52304060741254,7.47098392310321,7.64309709374501,7.56525019408976,7.73038623192573,7.86271955061255,7.7373886128844,7.74365826969683,7.74656387666045,7.8363132085864,7.81505799248829,7.76053884788625,7.84001221448489,7.82001680602179,7.82404298510321,7.83258982193218,7.7664378210729,7.7573791179672,7.6824936073362,7.6174516402129,7.61743495920946
"AVIA",10.0198834393463,10.0729045988508,10.128082938566,10.1785711929879,10.2395916655988,10.2895843019991,10.3418013223258,10.4068012328067,10.4812119603274,10.5658533747161,10.5778534692328,10.707104774963,10.7365199305898,10.8123744394828,10.858633050759,10.9456721508341,11.0150137434211,11.0820070634084,11.0522830856032,10.9503494799725,10.8039044197687,10.8453122367742,10.9434987022195,10.8943695799068,10.9054054995972,10.9473201259046,10.8852123961416,11.0067241578965,10.9798161703134,11.1050211853151,11.045726411296,10.9568988299952,11.0959462244413,10.9844538299151,11.1092167362676,11.1955298149817,11.0368028807772,11.0594901074184,11.0846750605561,11.2002861375324,11.1995420287714,11.1624654842623,11.2572162389425,11.2364643583478,11.2511774979571,11.2628625368718,11.2069747813488,11.2060020079103,11.1394060949689,11.074967692886,11.0803509675675
"BACK",3.83465395140329,3.89086590370388,3.94486218515586,3.99937730468631,4.05749955815832,4.10975768926971,4.16729813829343,4.23866339985308,4.30702327162043,4.4281112043446,4.47836860711468,4.65575433334543,4.71774155241498,4.82681825431554,4.91050005369663,5.03363592644823,5.14451901881605,5.24764845779327,5.25209643075601,5.18779257345688,5.08336530360586,5.15957768417649,5.2946255445202,5.28187869265886,5.33461084994873,5.42027989163938,5.4032458251675,5.56421142069443,5.57123555851117,5.73500231591533,5.70928209195764,5.65561659122587,5.83322646250335,5.76017862766912,5.92142827716564,6.0469575523841,5.93033357101329,5.99440693844756,6.06068392933351,6.20723270394314,6.24328577347787,6.18855527142795,6.2636237563997,6.24489886397319,6.25404706152449,6.2596031379926,6.20089481881398,6.19733298254472,6.12580291525302,6.06331476671288,6.06482551398282
"BALA",2.83479074480475,2.89607649085749,2.95526370256984,3.01042517711444,3.06499615639286,3.11910478658553,3.17626941885238,3.2403719133778,3.30491523309869,3.42539690896934,3.47713839226726,3.6491849849861,3.7145771193849,3.8273926842793,3.91793195703124,4.04394397150529,4.14316525559784,4.24393109097612,4.24629403858101,4.17724247787784,4.0720915548573,4.14135661003342,4.26937034342944,4.25532137634683,4.30582864666424,4.38272714670915,4.35717929717381,4.51411645049895,4.52428614839743,4.68704056345213,4.66257784049315,4.60540255068293,4.78383097107449,4.70480842270618,4.86975061912918,4.99841190400724,4.87069261078832,4.94209462924026,4.99865352924053,5.14492121677894,5.17760757062262,5.18194109215289,5.25815701786259,5.23195933351367,5.24455410189689,5.24709849505828,5.18602027058049,5.17190850136956,5.10401380346956,5.03528229687611,5.03562174866418
"BARC",6.48149195085882,6.52973393554664,6.57984331614425,6.62502371176281,6.67713970693246,6.72663445648019,6.77091255981415,6.83412086373987,6.89343174072103,7.01117732119687,7.05293239126825,7.21788463432464,7.27401378160781,7.26766464133035,7.23737124269812,7.23595130908436,7.21996707808281,7.20302353402352,7.09064501685008,6.90819912268154,6.67954446107429,6.63581894297328,6.6451854008066,6.51390442711355,6.44716102100673,6.40422571408346,6.26578670742364,6.3093950656207,6.20619962927615,6.24894484868722,6.10378671559554,5.93636178238058,6.00023169023603,5.80717984103091,5.852003467935,5.85958424975879,5.62105931304893,5.56745037453693,5.51078988995333,5.54804771245593,5.4594550237134,5.33806684323856,5.3524405771613,5.32892264348728,5.33133612116019,5.33620830195732,5.27216117412236,5.25654232920167,5.1809384421123,5.11188367070628,5.10379292775421
"BATT",8.11536809635981,8.16526468762012,8.21849061788645,8.27161430166487,8.3219914808508,8.37744939754661,8.42704928746419,8.49071526562208,8.55507006476596,8.67753049971097,8.72717054428162,8.89854975832126,8.96429960765976,9.07248762213797,9.16186295518904,9.29038050044508,9.39470570807415,9.49479195724596,9.49803801385516,9.43270101281704,9.32918774661025,9.39862621339078,9.52797620697217,9.51257781194484,9.55802619550301,9.63765705079614,9.61498277216297,9.77371035071821,9.77861276357068,9.94617172402094,9.92164614674634,9.86720281936485,10.0450833540414,9.96477665449958,10.1301004048724,10.2562902969553,10.1334099872011,10.1958638303538,10.2539884537789,10.3967853685377,10.428815540904,10.3706642702327,10.4488659633493,10.4302123650226,10.4438726716236,10.4514092886381,10.3834160603503,10.3762556829619,10.3094999348122,10.2454542810462,10.2485590692144
